ETF代码,ETF名称,基金规模,next_crawl_index
159712,港股通50ETF国泰,1.55684382,440
159792,港股通互联网ETF富国,486.46713709,440
159954,恒生中国企业ETF南方,2.24483046,440
159236,自由现金流ETF工银,0.72169536,440
563680,800现金流ETF汇添富,1.55685324,440
159510,沪深300价值ETF华夏,0.75921401,440
515990,一带一路ETF汇添富,0.88976966,440
512170,医疗ETF华宝,259.75472947,440
513400,道琼斯ETF鹏华,27.30684306,440
562860,疫苗ETF嘉实,2.12917645,440
159235,中证现金流ETF大成,32.94651965,440
513550,港股通50ETF华泰柏瑞,22.5662112,440
520650,港股通互联网ETF南方,13.9271693,440
563960,300质量ETF兴全,2.47790592,440
560210,农牧渔ETF景顺,5.11127166,440
515380,沪深300ETF泰康,36.76885602,440
159120,港股通科技ETF国联安,1.37208402,440
515150,一带一路ETF富国,6.46734965,440
562330,中证500价值ETF银华,0.12924381,440
159920,恒生ETF华夏,101.61027758,440
159666,交通运输ETF华夏,1.11385573,440
513900,港股通100ETF华安,1.31834352,440
563580,自由现金流800ETF万家,3.82877848,440
588860,科创医药ETF工银,2.52148788,440
512970,大湾区ETF平安,0.16699267,440
159202,恒生互联网ETF万家,10.97691618,440
563830,全指现金流ETF博时,1.8455364,440
159221,现金流ETF嘉实,19.8209609,440
512550,富时A50ETF嘉实,2.13516648,440
561870,现金流全指ETF华富,1.49649185,440
159173,农牧ETF南方,0.5208292,440
159179,港股通互联网ETF工银,0.83135526,440
563390,全指现金流ETF华泰柏瑞,31.74985908,440
563780,现金流全指ETF方正富邦,4.48953799,440
159262,港股通科技ETF广发,89.00145768,440
159225,现金流ETF银华,5.32569089,440
513770,港股互联网ETF华宝,84.61563282,440
159867,养殖ETF鹏华,9.13332198,440
159126,港股通50ETF南方,2.93523386,440
513380,恒生科技ETF广发,116.87650754,440
159015,恒生港股通科技ETF国联,1.80644934,440
159276,现金流ETF汇添富,4.94847884,440
159010,港股通科技ETF博时,3.35506492,440
159365,恒指港股通ETF富国,0.81094287,440
513330,恒生互联网ETF华夏,303.9820417,440
159827,农业ETF银华,0.7208914,440
159223,现金流ETF永赢,2.78525879,440
513260,恒生科技ETF汇添富,71.82240471,440
